name
"Agriculture, Forestry and Fishing
"
"Construction
"
"Electricity, Gas, Steam and Air Conditioning Supply
"
"Manufacturing
"
"Mining
"
"Other Services Industries
"
"Total Households
"
"Total Industry and Households
"
"Transportation and Storage
"
"Water supply; sewerage, waste management and remediation activities
"
